Database
information_schema
giraffe
little_lemon
littlelemondb
lucky_shrub
lucky_shrub2
lucky_shrub_adv_graded_ass
luckyshrub_db
mangata_gallo
mysql
north_wind
performance_schema
pos_la
sys
